date,symbol,high,low,open,close
2024-04-26,GOLDBLN,2352.39,2326.0,2338.02,2333.34
2024-04-27,GOLDBLN,2352.39,2326.0,2338.02,2333.34
2024-04-28,GOLDBLN,2352.39,2326.0,2338.02,2333.34
2024-04-29,GOLDBLN,2344.39,2319.87,2330.68,2335.16
2024-04-30,GOLDBLN,2336.09,2292.49,2323.0,2296.49
2024-05-01,GOLDBLN,2310.36,2281.47,2287.6,2304.83
2024-05-02,GOLDBLN,2326.39,2285.39,2315.1,2302.13
2024-05-03,GOLDBLN,2320.78,2277.19,2306.1,2293.68
2024-05-04,GOLDBLN,2320.78,2277.19,2306.1,2293.68
2024-05-05,GOLDBLN,2320.78,2277.19,2306.1,2293.68
2024-05-06,GOLDBLN,2331.8,2291.63,2313.58,2323.06
2024-05-07,GOLDBLN,2329.93,2309.89,2321.81,2316.55
2024-05-08,GOLDBLN,2321.36,2303.69,2317.87,2313.75
2024-05-09,GOLDBLN,2338.54,2306.54,2316.69,2336.76
2024-05-10,GOLDBLN,2378.23,2344.81,2357.14,2361.96
2024-05-11,GOLDBLN,2378.23,2344.81,2357.14,2361.96
2024-05-12,GOLDBLN,2378.23,2344.81,2357.14,2361.96
2024-05-13,GOLDBLN,2364.48,2333.94,2352.61,2337.43
2024-05-14,GOLDBLN,2356.9,2334.18,2344.85,2350.8
2024-05-15,GOLDBLN,2381.79,2351.59,2358.62,2380.75
2024-05-16,GOLDBLN,2397.32,2370.79,2390.82,2377.58
2024-05-17,GOLDBLN,2419.04,2373.78,2381.34,2408.25
2024-05-18,GOLDBLN,2419.04,2373.78,2381.34,2408.25
2024-05-19,GOLDBLN,2419.04,2373.78,2381.34,2408.25
2024-05-20,GOLDBLN,2449.89,2407.08,2449.71,2424.37
2024-05-21,GOLDBLN,2433.79,2406.1,2416.65,2431.75
2024-05-22,GOLDBLN,2426.48,2381.59,2417.46,2391.95
2024-05-23,GOLDBLN,2383.69,2341.39,2359.75,2342.31
2024-05-24,GOLDBLN,2347.32,2325.19,2338.8,2339.3
2024-05-25,GOLDBLN,2347.32,2325.19,2338.8,2339.3
2024-05-26,GOLDBLN,2347.32,2325.19,2338.8,2339.3
2024-05-27,GOLDBLN,2358.34,2331.97,2343.85,2354.54
2024-05-28,GOLDBLN,2363.89,2339.9,2350.6,2356.12
2024-05-29,GOLDBLN,2362.49,2334.49,2356.87,2340.48
2024-05-30,GOLDBLN,2351.66,2322.5,2325.15,2344.72
2024-05-31,GOLDBLN,2359.53,2329.29,2342.5,2330.65
2024-06-01,GOLDBLN,2359.53,2329.29,2342.5,2330.65
2024-06-02,GOLDBLN,2359.53,2329.29,2342.5,2330.65
2024-06-03,GOLDBLN,2345.59,2314.57,2320.25,2338.98
2024-06-04,GOLDBLN,2352.79,2315.2,2347.83,2326.79
2024-06-05,GOLDBLN,2352.8,2325.7,2337.82,2352.38
2024-06-06,GOLDBLN,2374.82,2353.3,2367.66,2370.33
2024-06-07,GOLDBLN,2387.67,2304.86,2375.93,2315.44
2024-06-08,GOLDBLN,2387.67,2304.86,2375.93,2315.44
2024-06-09,GOLDBLN,2387.67,2304.86,2375.93,2315.44
2024-06-10,GOLDBLN,2308.5,2286.69,2295.72,2304.69
2024-06-11,GOLDBLN,2319.83,2297.55,2299.68,2312.1
2024-06-12,GOLDBLN,2341.5,2310.6,2315.15,2325.74
2024-06-13,GOLDBLN,2326.49,2303.84,2311.71,2309.68
2024-06-14,GOLDBLN,2336.44,2301.05,2309.92,2331.65
2024-06-15,GOLDBLN,2336.44,2301.05,2309.92,2331.65
2024-06-16,GOLDBLN,2336.44,2301.05,2309.92,2331.65
2024-06-17,GOLDBLN,2332.59,2315.27,2318.71,2323.19
2024-06-18,GOLDBLN,2327.64,2306.45,2322.2,2323.16
2024-06-19,GOLDBLN,2334.92,2323.64,2329.33,2325.51
2024-06-20,GOLDBLN,2365.35,2327.05,2340.53,2358.69
2024-06-21,GOLDBLN,2368.6,2328.49,2364.67,2332.22
2024-06-22,GOLDBLN,2368.6,2328.49,2364.67,2332.22
2024-06-23,GOLDBLN,2368.6,2328.49,2364.67,2332.22
2024-06-24,GOLDBLN,2333.79,2316.9,2325.24,2332.42
2024-06-25,GOLDBLN,2337.07,2319.39,2325.07,2324.37
2024-06-26,GOLDBLN,2323.5,2293.49,2312.22,2301.87
2024-06-27,GOLDBLN,2330.69,2296.35,2297.58,2329.74
2024-06-28,GOLDBLN,2339.58,2318.99,2325.95,2326.3
2024-06-29,GOLDBLN,2339.58,2318.99,2325.95,2326.3
2024-06-30,GOLDBLN,2339.58,2318.99,2325.95,2326.3
2024-07-01,GOLDBLN,2338.52,2318.36,2321.86,2328.34
2024-07-02,GOLDBLN,2336.69,2318.97,2329.95,2328.8
2024-07-03,GOLDBLN,2364.89,2326.79,2333.34,2363.24
2024-07-04,GOLDBLN,2362.44,2350.59,2357.29,2359.51
2024-07-05,GOLDBLN,2385.1,2353.57,2364.77,2383.3
2024-07-06,GOLDBLN,2385.1,2353.57,2364.77,2383.3
2024-07-07,GOLDBLN,2385.1,2353.57,2364.77,2383.3
2024-07-08,GOLDBLN,2391.42,2368.0,2382.99,2373.05
2024-07-09,GOLDBLN,2371.24,2351.79,2364.67,2353.05
2024-07-10,GOLDBLN,2386.53,2362.35,2368.48,2377.17
2024-07-11,GOLDBLN,2419.83,2370.59,2382.78,2418.75
2024-07-12,GOLDBLN,2416.26,2391.35,2408.13,2411.77
